"Carrier Name","Year","Category","Value"
"American Eagle Airlines Inc.","2008","National Avaiation System Delay",7.62909395487606
"American Eagle Airlines Inc.","2008","Security Delay",0.00749348370569786
"American Eagle Airlines Inc.","2008","Cancelled / Diverted",3.98049289474274
"American Eagle Airlines Inc.","2008","Carrier Delay",5.71551051268308
"American Eagle Airlines Inc.","2009","Weather Delay",1.00747124201103
"American Eagle Airlines Inc.","2009","Late Arrival",7.46493779304316
"American Eagle Airlines Inc.","2009","National Avaiation System Delay",6.21881013892162
"American Eagle Airlines Inc.","2009","Security Delay",0.0104757567921942
"American Eagle Airlines Inc.","2009","Cancelled / Diverted",2.79170451867124
"American Eagle Airlines Inc.","2009","Carrier Delay",5.29016793704477
"American Eagle Airlines Inc.","2010","Weather Delay",1.02146113287686
"American Eagle Airlines Inc.","2010","Late Arrival",7.16990406795796
"American Eagle Airlines Inc.","2010","National Avaiation System Delay",6.37037045512797
"American Eagle Airlines Inc.","2010","Security Delay",0.01774010471971
"American Eagle Airlines Inc.","2010","Cancelled / Diverted",3.00886089853905
"American Eagle Airlines Inc.","2010","Carrier Delay",5.3610907692871
"American Eagle Airlines Inc.","2011","Weather Delay",1.05568323300117
"American Eagle Airlines Inc.","2011","Late Arrival",6.30802939903342
"American Eagle Airlines Inc.","2011","National Avaiation System Delay",6.85066870752246
"American Eagle Airlines Inc.","2011","Security Delay",0.00354992882292304
"American Eagle Airlines Inc.","2011","Cancelled / Diverted",4.1994475409324
"American Eagle Airlines Inc.","2011","Carrier Delay",5.232827135647
"American Eagle Airlines Inc.","2012","Weather Delay",1.14776387538572
"American Eagle Airlines Inc.","2012","Late Arrival",5.61643910893182
"American Eagle Airlines Inc.","2012","National Avaiation System Delay",4.87208437249017
"American Eagle Airlines Inc.","2012","Security Delay",0.00804201716193938
"American Eagle Airlines Inc.","2012","Cancelled / Diverted",2.44430823857632
"American Eagle Airlines Inc.","2012","Carrier Delay",4.30572346451367
"American Eagle Airlines Inc.","2013","Weather Delay",1.79842906346265
"American Eagle Airlines Inc.","2013","Late Arrival",9.70597115023928
"American Eagle Airlines Inc.","2013","National Avaiation System Delay",7.23166198720062
"American Eagle Airlines Inc.","2013","Security Delay",0.00802518954679276
"American Eagle Airlines Inc.","2013","Cancelled / Diverted",3.80275766428336
"American Eagle Airlines Inc.","2013","Carrier Delay",5.35048480783877
"American Eagle Airlines Inc.","2014","Weather Delay",1.86442508675954
"American Eagle Airlines Inc.","2014","Late Arrival",8.90609967096381
"American Eagle Airlines Inc.","2014","National Avaiation System Delay",8.64658112392363
"American Eagle Airlines Inc.","2014","Security Delay",0.0043604796527618
"American Eagle Airlines Inc.","2014","Cancelled / Diverted",8.62294852433768
"American Eagle Airlines Inc.","2014","Carrier Delay",5.62631889507846
"America West Airlines Inc.","2003","Weather Delay",0.208750114290939
"America West Airlines Inc.","2003","Late Arrival",3.02543659138703
"America West Airlines Inc.","2003","Security Delay",0.119612325134863
"America West Airlines Inc.","2003","National Avaiation System Delay",6.76149766846484
"America West Airlines Inc.","2003","Carrier Delay",6.11775624028527
"America West Airlines Inc.","2003","Cancelled / Diverted",0.937185699917711
"America West Airlines Inc.","2004","Weather Delay",0.19069710471116
"America West Airlines Inc.","2004","Late Arrival",5.18669585942564
"America West Airlines Inc.","2004","Security Delay",0.182194458479425
"America West Airlines Inc.","2004","National Avaiation System Delay",9.61955506560715
"America West Airlines Inc.","2004","Carrier Delay",7.36000489948402
"America West Airlines Inc.","2004","Cancelled / Diverted",1.73421319900581
"America West Airlines Inc.","2005","Weather Delay",0.172678705907922
"America West Airlines Inc.","2005","Late Arrival",4.63722561699848
"America West Airlines Inc.","2005","Security Delay",0.109621789914735
"America West Airlines Inc.","2005","National Avaiation System Delay",6.7294557070148
"America West Airlines Inc.","2005","Carrier Delay",5.75026408495196
"America West Airlines Inc.","2005","Cancelled / Diverted",1.3813285621143
"ATA Airlines","2003","Weather Delay",0.186551078898126
"ATA Airlines","2003","Security Delay",0.260261967360667
"ATA Airlines","2003","Late Arrival",4.98041166299533
"ATA Airlines","2003","Carrier Delay",3.40178592576802
"ATA Airlines","2003","National Avaiation System Delay",8.51628413747365
"ATA Airlines","2003","Cancelled / Diverted",1.04218479831356
"ATA Airlines","2004","Weather Delay",0.143725259158249
"ATA Airlines","2004","Security Delay",0.180000794354785
"ATA Airlines","2004","Late Arrival",5.52678961513511
"ATA Airlines","2004","Carrier Delay",3.73174638899554
